question_id,workstream_code,workstream,capability,stage,question,answer_type,options,weight,criticality,hard_gate_candidate,expert_validation_candidate,evidence_expected,methodology_status,source_type
RQ-013,MKT,"Market, Patient & Disease Understanding",Epidemiology,L-24_to_L+12,Is the addressable U.S. patient population quantified with current defensible epidemiology?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Epidemiology supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-014,MKT,"Market, Patient & Disease Understanding",Patient journey,L-24_to_L+12,"Is the end-to-end patient journey mapped through diagnosis, treatment initiation, and persistence?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Patient journey supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-015,MKT,"Market, Patient & Disease Understanding",Diagnosis friction,L-24_to_L+12,Are diagnostic delays/testing/referral bottlenecks understood?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Diagnosis friction supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-016,MKT,"Market, Patient & Disease Understanding",HCP universe,L-24_to_L+12,Is the U.S. HCP/HCO universe defined with defensible inclusion logic?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,HCP universe supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-017,MKT,"Market, Patient & Disease Understanding",Site of care,L-24_to_L+12,Are relevant sites of care and operational constraints understood?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Site of care supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-018,MKT,"Market, Patient & Disease Understanding",Treatment pathway,L-24_to_L+12,Is current treatment sequencing documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Treatment pathway supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-019,MKT,"Market, Patient & Disease Understanding",Patient segments,L-24_to_L+12,Are meaningful patient segments defined beyond demographics?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Patient segments supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-020,MKT,"Market, Patient & Disease Understanding",Unmet need,L-24_to_L+12,Are unmet needs supported by external customer/patient evidence?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Unmet need supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-021,MKT,"Market, Patient & Disease Understanding",Referral networks,L-24_to_L+12,Are referral relationships and influential HCO/HCP networks understood?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Referral networks supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-022,MKT,"Market, Patient & Disease Understanding",Treatment capacity,L-24_to_L+12,Has site/provider capacity been assessed against expected demand?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Treatment capacity supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-023,MKT,"Market, Patient & Disease Understanding",Patient burden,L-24_to_L+12,Are administration/monitoring/travel/financial burdens assessed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Patient burden supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-024,MKT,"Market, Patient & Disease Understanding",Research refresh,L-24_to_L+12,Is market research refreshed on a planned cadence?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Research refresh supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-025,CMP,Competition & Differentiation,Competitor set,L-24_to_L+12,Is direct and indirect competition explicitly defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Competitor set supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-026,CMP,Competition & Differentiation,Pipeline competition,L-24_to_L+12,Are likely pipeline entrants and timing tracked?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Pipeline competition supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-027,CMP,Competition & Differentiation,Differentiation,L-24_to_L+12,Is differentiation customer-relevant and evidence-supported?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Differentiation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-028,CMP,Competition & Differentiation,Behavior change,L-24_to_L+12,Is required HCP/patient/payer/site behavior change defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Behavior change supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-029,CMP,Competition & Differentiation,Competitive objections,L-24_to_L+12,Are likely objections documented with compliant response pathways?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Competitive objections supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-030,CMP,Competition & Differentiation,Switch barriers,L-24_to_L+12,Are switching barriers assessed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Switch barriers supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-031,CMP,Competition & Differentiation,Operational differentiation,L-24_to_L+12,Are workflow/administration/monitoring differences included?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Operational differentiation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-032,CMP,Competition & Differentiation,Payer differentiation,L-24_to_L+12,Is there a payer-specific value story?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Payer differentiation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-033,CMP,Competition & Differentiation,Message testing,L-24_to_L+12,Has positioning/message architecture been externally tested?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Message testing supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-034,CMP,Competition & Differentiation,Competitive response,L-24_to_L+12,Are likely competitor responses modeled?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Competitive response supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-035,CMP,Competition & Differentiation,Monitoring cadence,L-24_to_L+12,Is CI monitored with ownership/cadence?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Monitoring cadence supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-036,CMP,Competition & Differentiation,Differentiation trigger,L-24_to_L+12,Is there a trigger to revisit positioning if uptake is weak?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Differentiation trigger supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-037,ACC,Market Access & Payer Strategy,Access strategy,L-24_to_L+12,Is the U.S. market-access strategy aligned to the launch forecast?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Access strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-038,ACC,Market Access & Payer Strategy,Payer universe,L-24_to_L+12,Are priority national/regional payers and covered lives quantified?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Payer universe supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-039,ACC,Market Access & Payer Strategy,Coverage assumptions,L-24_to_L+12,Are coverage/UM/step-edit/PA assumptions explicit?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Coverage assumptions supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-040,ACC,Market Access & Payer Strategy,Payer value proposition,L-24_to_L+12,Is the payer value proposition evidence-supported?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Payer value proposition supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-041,ACC,Market Access & Payer Strategy,Pricing strategy,L-24_to_L+12,"Is pricing integrated with access, GTN, channel economics, and affordability?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Pricing strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-042,ACC,Market Access & Payer Strategy,Contracting strategy,L-24_to_L+12,Are contracting scenarios and timing defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Contracting strategy supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-043,ACC,Market Access & Payer Strategy,Reimbursement pathway,L-24_to_L+12,Are coding/coverage/payment pathways understood?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Reimbursement pathway supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-044,ACC,Market Access & Payer Strategy,Field access support,L-24_to_L+12,Is the FRM/reimbursement support model defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Field access support supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-045,ACC,Market Access & Payer Strategy,Affordability,L-24_to_L+12,Are patient OOP barriers modeled?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Affordability supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-046,ACC,Market Access & Payer Strategy,Pull-through,L-24_to_L+12,Is a compliant pull-through strategy defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Pull-through supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-047,ACC,Market Access & Payer Strategy,Access KPIs,L-24_to_L+12,Are access KPIs defined from rejection through time-to-therapy?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Access KPIs supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-048,ACC,Market Access & Payer Strategy,Expert validation,L-24_to_L+12,Has a senior market-access expert reviewed the assumptions?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Expert validation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-049,FCT,"Forecast, Finance & Commercial Economics",Forecast model,L-24_to_L+12,Is there a transparent U.S. launch forecast with documented assumptions?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,Forecast model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-050,FCT,"Forecast, Finance & Commercial Economics",Patient funnel,L-24_to_L+12,Does forecast explicitly model patient flow?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Patient funnel supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-051,FCT,"Forecast, Finance & Commercial Economics",Access impact,L-24_to_L+12,Does forecast quantify access friction?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Access impact supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-052,FCT,"Forecast, Finance & Commercial Economics",Adoption curve,L-24_to_L+12,Are trial/repeat/depth/persistence assumptions explicit?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Adoption curve supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-053,FCT,"Forecast, Finance & Commercial Economics",GTN,L-24_to_L+12,Is gross-to-net modeled?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,false,false,GTN supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-054,FCT,"Forecast, Finance & Commercial Economics",Budget,L-24_to_L+12,Is launch budget capability-based and scenario-linked?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Budget supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-055,FCT,"Forecast, Finance & Commercial Economics",Cash needs,L-24_to_L+12,Are commercialization cash requirements timed through L+12?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Cash needs supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-056,FCT,"Forecast, Finance & Commercial Economics",Build/Buy/Rent economics,L-24_to_L+12,Are key choices modeled over 12/24/36 months?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,false,Build/Buy/Rent economics supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-057,FCT,"Forecast, Finance & Commercial Economics",CSO economics,L-24_to_L+12,"If relevant, are CSO vs internal fully loaded economics compared?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,CSO economics supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-058,FCT,"Forecast, Finance & Commercial Economics",Forecast governance,L-24_to_L+12,Is there a defined assumption-refresh process?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Forecast governance supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-059,FCT,"Forecast, Finance & Commercial Economics",Downside triggers,L-24_to_L+12,Are triggers defined that alter hiring/spend/vendor decisions?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Downside triggers supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-060,FCT,"Forecast, Finance & Commercial Economics",Board reporting,L-24_to_L+12,Are forecast assumptions/confidence consistently communicated?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Board reporting supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-061,ORG,Organization & Leadership,US leadership,L-24_to_L+12,Is accountable U.S. commercial leadership in place?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,US leadership supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-062,ORG,Organization & Leadership,Org model,L-24_to_L+12,Is target U.S. organization defined through L+12?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Org model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-063,ORG,Organization & Leadership,Role sequencing,L-24_to_L+12,Is hiring sequence driven by dependencies?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Role sequencing supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-064,ORG,Organization & Leadership,Decision rights,L-24_to_L+12,Are global/U.S./functional/vendor decision rights clear?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Decision rights supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-065,ORG,Organization & Leadership,Span of control,L-24_to_L+12,Are manager spans designed for field complexity?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Span of control supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-066,ORG,Organization & Leadership,FLSM timing,L-24_to_L+12,Are first-line managers early enough to help hire and ready reps?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,FLSM timing supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-067,ORG,Organization & Leadership,Leadership gaps,L-24_to_L+12,Are critical leadership gaps documented/mitigated?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Leadership gaps supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-068,ORG,Organization & Leadership,Internal-vendor boundaries,L-24_to_L+12,Are internal vs vendor responsibilities explicit?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Internal-vendor boundaries supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-069,ORG,Organization & Leadership,Operating cadence,L-24_to_L+12,Is leadership cadence defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Operating cadence supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-070,ORG,Organization & Leadership,Continuity,L-24_to_L+12,Is continuity planning documented for key roles?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Continuity supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-071,ORG,Organization & Leadership,Expert council,L-24_to_L+12,Are expertise gaps mapped to experts?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Expert council supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-072,ORG,Organization & Leadership,Ways of working,L-24_to_L+12,Are speed/escalation/documentation expectations explicit?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Ways of working supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-073,FLD,Field Force Design & Deployment,Field model,L-24_to_L+12,Has Internal vs CSO vs Hybrid vs Virtual been selected?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Field model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-074,FLD,Field Force Design & Deployment,Target universe,L-24_to_L+12,Is target universe mature enough for sizing?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Target universe supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-075,FLD,Field Force Design & Deployment,Segmentation,L-24_to_L+12,"Are segments based on opportunity/behavior, not volume alone?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Segmentation supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-076,FLD,Field Force Design & Deployment,Reach/frequency,L-24_to_L+12,Are reach/frequency assumptions documented?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Reach/frequency supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-077,FLD,Field Force Design & Deployment,Sizing,L-24_to_L+12,Has field sizing been modeled under multiple scenarios?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Sizing supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-078,FLD,Field Force Design & Deployment,Territories,L-24_to_L+12,Are territories balanced for workload/opportunity/travel?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Territories supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-079,FLD,Field Force Design & Deployment,Manager layers,L-24_to_L+12,Are RD/FLSM layers designed consistently with rep count?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Manager layers supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-080,FLD,Field Force Design & Deployment,KAM/FRM,L-24_to_L+12,Are KAM/FRM needs explicitly assessed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,KAM/FRM supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-081,FLD,Field Force Design & Deployment,Virtual mix,L-24_to_L+12,Has virtual coverage been assessed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Virtual mix supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-082,FLD,Field Force Design & Deployment,CSO SLA,L-24_to_L+12,"If CSO, are recruiting/staffing/replacement SLAs defined?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,CSO SLA supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-083,FLD,Field Force Design & Deployment,Territory readiness,L-24_to_L+12,Is each territory tied to staffing/training/CRM/targets?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Territory readiness supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-084,FLD,Field Force Design & Deployment,Field economics,L-24_to_L+12,Are fully loaded scenario costs modeled?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Field economics supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-085,HRT,"Hiring, Training & Certification",Hiring plan,L-24_to_L+12,Is there a role-by-role recruiting plan?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Hiring plan supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-086,HRT,"Hiring, Training & Certification",Interview model,L-24_to_L+12,Are structured scorecards/competencies defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Interview model supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-087,HRT,"Hiring, Training & Certification",Manager-first dependency,L-24_to_L+12,Is manager hiring sequenced before rep hiring where needed?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Manager-first dependency supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-088,HRT,"Hiring, Training & Certification",Recruiting velocity,L-24_to_L+12,Are funnel conversion/time-to-fill assumptions tracked?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Recruiting velocity supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-089,HRT,"Hiring, Training & Certification",CSO recruiting,L-24_to_L+12,"If CSO, are candidate-quality/replacement SLAs measurable?",single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,CSO recruiting supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-090,HRT,"Hiring, Training & Certification",Training architecture,L-24_to_L+12,Is curriculum mapped to competencies/product/access/systems?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,5,critical,true,true,Training architecture supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-091,HRT,"Hiring, Training & Certification",Content dependency,L-24_to_L+12,Are training timelines linked to approved content dependencies?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Content dependency supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-092,HRT,"Hiring, Training & Certification",Certification,L-24_to_L+12,Are certification/remediation/retesting standards defined?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,4,high,false,true,Certification supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-093,HRT,"Hiring, Training & Certification",Manager training,L-24_to_L+12,Are FLSMs trained before rep deployment?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Manager training supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-094,HRT,"Hiring, Training & Certification",Systems readiness,L-24_to_L+12,Are CRM/devices/credentials/compliance included in readiness?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Systems readiness supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-095,HRT,"Hiring, Training & Certification",Field rehearsal,L-24_to_L+12,Is structured rehearsal/role-play planned?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Field rehearsal supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
RQ-096,HRT,"Hiring, Training & Certification",Readiness dashboard,L-24_to_L+12,Can leadership see required→hired→trained→certified→ready?,single_select,No|Early/Draft|Defined/Mostly|Decision-ready/Operational,3,medium,false,false,Readiness dashboard supporting evidence,candidate_v0,LaunchOS synthesis + founding operator/expert validation required
